,,,,,NP = 10,,,,,,,,
,,,,,,,,,,,,,
,,,,1,2,3,4,5,6,7,8,9,10
,,,X1,0.81,0.34,0.74,0.20,0.24,0.42,0.64,0.48,0.06,0.32
,,,X2,0.78,0.01,0.38,0.82,0.13,0.47,0.57,0.00,0.60,0.02
,,,X3,0.83,0.09,0.63,0.47,0.47,0.46,0.90,0.60,0.42,0.94
,,,X4,0.88,0.26,0.35,0.88,0.21,0.90,0.17,0.95,0.58,0.23
,,,X5,0.49,0.75,0.50,0.03,0.85,0.75,0.50,0.80,0.60,0.08
,,,X6,0.48,0.03,0.65,0.73,0.08,0.32,0.66,0.66,0.67,0.86
,,,X7,0.31,0.69,0.83,0.83,0.01,0.83,0.95,0.99,0.29,0.54
,,,X8,0.93,0.27,0.32,0.94,0.64,0.05,0.98,0.51,0.18,0.78
,,,X9,0.37,0.77,0.95,1.00,0.68,0.88,0.29,0.42,0.32,0.75
,,,X10,0.48,0.99,0.73,0.78,0.68,0.28,0.64,0.28,0.79,0.12
,,,,,,,,,,,,,
,,,,Dimession,,,,,,,,,
Target Vector,,,,1,2,3,4,5,6,7,8,9,10
,,,X1,0.85,0.85,0.41,0.33,0.81,0.68,0.50,0.30,0.21,0.24
,,,X2,0.47,0.15,0.16,0.83,0.27,0.59,0.86,0.35,0.60,0.39
,,,X3,0.39,0.40,0.83,0.28,0.59,0.88,0.56,0.48,0.08,0.24
,,,X4,0.94,0.16,0.78,0.54,0.58,0.99,0.26,0.43,0.35,0.35
,,,X5,0.31,0.13,0.20,0.14,0.07,0.72,0.79,0.06,0.41,0.27
,,,X6,0.90,0.80,0.19,0.45,0.25,0.91,0.66,0.98,0.60,0.12
,,,X7,0.42,0.55,0.27,0.06,0.07,0.69,0.04,0.65,0.96,0.38
,,,X8,0.99,0.27,0.75,0.88,0.24,0.33,0.57,0.58,0.96,0.02
,,,X9,0.83,0.29,0.08,0.36,0.41,0.53,0.51,0.61,0.62,0.67
,,,X10,0.27,0.32,0.42,0.22,0.64,0.99,0.67,0.26,0.57,0.81
,,,,,,,,,,,,,
การ,ROV Decode,,,,,,,,,,,,
,,,X1,0.21,0.24,0.30,0.33,0.41,,,,,
,,,CITY,9,10,8,4,3,,,,,
,,,,,,,,,,,,,
,,,X2,0.08,0.24,0.28,0.39,0.40,,,,,
,,,,9,10,4,1,2,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mutation,,,,,,,,,,,,,
,V1,Xr1,X7,0.42,0.55,0.27,0.06,0.07,0.69,0.04,0.65,0.96,0.38
,,Xr2,X5,0.31,0.13,0.20,0.14,0.07,0.72,0.79,0.06,0.41,0.27
,,Xr3,X1,0.85,0.85,0.41,0.33,0.81,0.68,0.50,0.30,0.21,0.24
,,,F = 1.67,,,,,,,,,,
,,Xr1 + F* (Xr2 -Xr3),Xr2 - Xr3,-0.54,-0.72,-0.20,-0.19,-0.74,0.04,0.29,-0.23,0.21,0.04
,,,F* (Xr2 -Xr3),-0.897908164,-1.207866833,-0.339685519,-0.317048959,-1.231492111,0.073550255,0.489352764,-0.391157971,0.343704999,0.061992755
,,,,-0.48,-0.66,-0.07,-0.25,-1.16,0.76,0.52,0.26,1.30,0.44
,V2,Xr1,X4,,,,,,,,,,
,,Xr2,X8,,,,,,,,,,
,,Xr3,X5,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,V3,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Recombination ,,CR = 0.6 (X or V),,,,,,,,,,,
,U1,,,-0.48,-0.66,-0.07,0.33,0.81,0.764099049,0.524459567,0.30,0.21,0.24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Selection ,X1 or U1 ,,,,,,,,,,,,
